Category	Jenkins Build Number	Date (UTC)	Status	Failing Step	Staging tests passed	Production tests passed	Name	Owner	Requested Revision	Installed Revision	Section Label	Tool Shed URL	Log Path
Install	7	Tue 11 Feb 03:30:28 UTC 2020	Installed		4/4	4/4	megahit	 iuc	latest	de387b2b2803	 Assembly		/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_7
Install	23	Wed 12 Feb 05:06:39 UTC 2020	Installed		5/5	5/5	trna_prediction	 bgruening	latest	358f58401cd6	 Annotation		/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_23
Install	19	Wed 12 Feb 04:20:18 UTC 2020	Tests failed	Production Testing	5/5	2/5	trna_prediction	 bgruening	latest	358f58401cd6	 Annotation		/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_19
